Team	GP	SOG	W	L	OTL	PTS	Reg_PTS	PPG	SO_PTS	Pct_SO	RW	ROW	SOW	SOL	GF	GA	DIFF	CONF
LA	82	9	47	25	10	104	98	1.3424657534246576	6	0.6666666666666666	37	41	6	3	280	257	23	Western
STL	82	6	37	38	7	81	78	1.0263157894736843	3	0.5	27	34	3	3	263	301	-38	Eastern
EDM	82	4	50	23	9	109	109	1.3974358974358974	0	0	45	50	0	4	325	260	65	Western
CGY	82	7	38	27	17	93	91	1.2133333333333334	2	0.2857142857142857	31	36	2	5	260	252	8	Western
PIT	82	2	40	31	11	91	90	1.125	1	0.5	31	39	1	1	262	264	-2	Eastern
DET	82	7	35	37	10	80	77	1.0266666666666666	3	0.42857142857142855	28	32	3	4	240	279	-39	Western
PHI	82	3	31	38	13	75	73	0.9240506329113924	2	0.6666666666666666	26	29	2	1	222	277	-55	Eastern
WPG	82	2	46	33	3	95	94	1.175	1	0.5	36	45	1	1	247	225	22	Western
SEA	82	4	46	28	8	100	100	1.2820512820512822	0	0	37	46	0	4	289	256	33	Western
CBJ	82	2	25	48	9	59	58	0.725	1	0.5	15	24	1	1	214	330	-116	Eastern
VAN	82	8	38	37	7	83	77	1.0405405405405406	6	0.75	24	32	6	2	276	298	-22	Western
CHI	82	4	26	49	7	59	57	0.7307692307692307	2	0.5	18	24	2	2	204	301	-97	Western
TOR	82	3	50	21	11	111	110	1.3924050632911391	1	0.3333333333333333	42	49	1	2	279	222	57	Eastern
OTT	82	3	39	35	8	86	84	1.0632911392405062	2	0.6666666666666666	31	37	2	1	261	271	-10	Eastern
CAR	82	7	52	21	9	113	109	1.4533333333333334	4	0.5714285714285714	39	48	4	3	266	213	53	Eastern
COL	82	9	51	24	7	109	103	1.4109589041095891	6	0.6666666666666666	36	45	6	3	280	226	54	Western
FLA	82	3	42	32	8	92	90	1.139240506329114	2	0.6666666666666666	36	40	2	1	290	273	17	Eastern
SJ	82	7	22	44	16	60	59	0.7866666666666666	1	0.14285714285714285	16	21	1	6	234	321	-87	Eastern
MIN	82	13	46	25	11	103	96	1.391304347826087	7	0.5384615384615384	34	39	7	6	246	225	21	Western
DAL	82	7	47	21	14	108	104	1.3866666666666667	4	0.5714285714285714	39	43	4	3	285	218	67	Western
