"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"1","FF",94.2,-1.98,53.65,5.78
"2","ST",76.1,-2.01,54.01,5.74
"3","ST",77.2,-2.05,53.82,5.6
"4","ST",79.8,-2.17,53.86,5.7
"5","FF",92.2,-1.67,53.6,5.95
"6","ST",80.6,-2.06,53.92,5.64
"7","ST",78.8,-2.11,53.84,5.61
"8","FF",90.1,-1.66,53.71,6.04
"9","FF",94.3,-1.92,53.68,5.84
"10","ST",79,-2.06,53.87,5.79
"11","FF",94.4,-1.83,53.72,5.92
"12","ST",79.6,-2.21,53.97,5.66
"13","FF",92.6,-1.87,53.75,5.87
"14","ST",79.1,-2.08,53.81,5.72
"15","ST",80.6,-2.17,53.84,5.64
"16","FF",94.1,-1.84,53.45,5.82
"17","FF",90.9,-1.73,53.65,6.06
"18","FF",89.3,-1.98,53.63,6
"19","ST",80,-2.39,53.53,5.54
"20","FF",94.2,-1.84,53.45,5.83
"21","ST",81,-2.37,53.59,5.42
"22","ST",82.1,-2.25,53.64,5.46
"23","FF",96.4,-2.24,53.62,5.68
"24","ST",86.1,-2.36,53.66,5.55
"25","FF",96.6,-1.97,53.52,5.72
"26","FF",96.3,-1.98,53.48,5.78
"27","ST",81.5,-2.19,53.75,5.65
"28","ST",80.8,-2.32,53.51,5.6
"29","ST",84.4,-2.38,53.67,5.46
"30","FF",95.4,-2.02,53.49,5.81
"31","FF",95.8,-1.91,53.56,5.82
"32","ST",80.7,-2.38,53.72,5.56
"33","FF",95.2,-2.21,53.51,5.68
"34","ST",86.9,-2.31,53.67,5.42
"35","ST",83.7,-2.38,53.56,5.54
"36","FF",92.8,-2.1,53.51,5.71
"37","ST",80.2,-2.1,53.54,5.75
"38","FF",92.7,-1.81,53.48,5.88
"39","FF",94.2,-1.98,53.53,5.87
"40","FF",95.3,-2.06,53.52,5.77
"41","FF",94.9,-2.09,53.56,5.73
"42","FF",95.9,-1.89,53.56,5.86
"43","FF",93.5,-1.92,53.52,5.9
"44","ST",84.3,-2.3,53.42,5.39
"45","ST",85.5,-2.12,53.51,5.56
"46","FF",97.9,-1.77,53.49,5.85
"47","FF",96.4,-1.96,53.52,5.72
"48","FF",96.9,-2.1,53.51,5.77
"49","ST",83.1,-2.09,53.57,5.71
"50","FF",95.2,-1.75,53.44,5.86
"51","FF",96.2,-1.91,53.45,5.72
"52","ST",82.2,-2.11,53.5,5.62
"53","FF",93.6,-1.81,53.44,5.86
"54","ST",85.4,-2.34,53.49,5.56
"55","ST",77.8,-2.45,53.86,5.48
"56","FF",96.6,-1.97,53.44,5.78
"57","ST",85.1,-2.23,53.44,5.56
"58","ST",82.9,-2.14,53.58,5.56
"59","ST",82.3,-2.17,53.67,5.53
"60","FF",95.3,-1.9,53.58,5.9
"61","FF",97.2,-2.14,53.47,5.57
"62","FF",97.2,-2.01,53.43,5.7
"63","FF",93.4,-1.9,53.39,5.74
"64","ST",81.4,-2.2,53.6,5.63
"65","FF",95,-2.21,53.58,5.71
"66","ST",82.3,-2.24,53.96,5.63
"67","ST",84.4,-2.26,53.68,5.68
"68","FF",96.5,-1.94,53.6,5.82
"69","FF",96,-1.91,53.53,5.8
"70","FF",96.7,-2.14,53.5,5.68
"71","ST",83.9,-2.26,53.47,5.7
"72","FF",96.6,-2.16,53.67,5.77
"73","FF",95.4,-2.11,53.57,5.73
"74","ST",84.3,-2.27,53.43,5.61
"75","FF",94.8,-2.02,53.48,5.81
"76","ST",81.6,-2.3,53.76,5.74
"77","FF",96.1,-2.11,53.47,5.79
"78","ST",85.3,-2.27,53.68,5.7
"79","ST",83.4,-2.35,53.59,5.61
"80","FF",95.7,-1.97,53.39,5.96
"81","ST",81.6,-2.09,53.64,5.8
"82","FF",96.8,-2,53.52,5.77
"83","ST",81.7,-2.24,53.66,5.61
"84","FF",94.3,-2.08,53.41,5.77
"85","ST",80.3,-2.22,53.66,5.61
"86","ST",83.9,-2.37,53.6,5.52
"87","ST",82.8,-2.2,53.68,5.72
"88","ST",81.1,-2.07,53.47,5.65
"89","ST",82.3,-2.13,53.45,5.58
"90","ST",82.5,-2.12,53.58,5.64
"91","FF",93.6,-1.85,53.43,5.87
"92","ST",77.7,-2.24,53.83,5.61
"93","FF",90.1,-2.16,53.78,5.94
"94","ST",80,-2.08,53.78,5.66
"95","ST",80.5,-2.41,53.68,5.62
"96","ST",86.7,-2.47,53.61,5.35
"97","FF",98.3,-2.06,53.48,5.55
"98","ST",82,-2.28,53.61,5.44
"99","ST",84.2,-2.39,53.77,5.34
"100","ST",84.7,-2.36,53.56,5.43
"101","FF",98.7,-2.51,53.61,5.39
"102","FF",98.8,-2.36,53.56,5.44
"103","FF",96.9,-2.33,53.58,5.47
"104","FF",98.5,-2.2,53.6,5.52
"105","FF",97.8,-2.19,53.58,5.69
"106","FF",97.4,-2.14,53.56,5.72
"107","FF",98.3,-2.33,53.63,5.55
"108","FF",100.2,-2.25,53.63,5.57
"109","FF",98.1,-2.05,53.51,5.59
"110","FF",100,-2.2,53.54,5.66
"111","ST",88.2,-2.47,53.5,5.47
"112","ST",88.7,-2.47,53.62,5.39
"113","ST",86.4,-2.38,53.68,5.49
"114","ST",87.8,-2.34,53.74,5.51
"115","ST",86.2,-2.44,53.54,5.46
"116","ST",87.8,-2.44,53.63,5.59
"117","FF",99.2,-2.48,53.77,5.56
"118","ST",88.2,-2.44,53.53,5.47
"119","ST",85.6,-2.39,53.54,5.53
"120","ST",83.8,-2.37,53.59,5.61
"121","ST",87.5,-2.3,53.64,5.44
"122","FF",99.9,-2.21,53.52,5.62
"123","FF",99.9,-2.21,53.63,5.53
"124","FF",99.4,-2.36,53.69,5.54
"125","FF",99.3,-2.23,53.62,5.58
"126","FF",99.6,-2.21,53.48,5.48
"127","ST",85.3,-2.27,53.68,5.43
"128","ST",86.3,-2.32,53.69,5.49
"129","ST",84.1,-2.25,53.71,5.58
"130","FF",99.4,-2.07,53.4,5.59
"131","ST",85.8,-2.3,53.62,5.38
"132","FF",98.3,-2.02,53.51,5.63
"133","ST",87.1,-2.3,53.58,5.43
"134","FF",98.6,-1.98,53.52,5.6
"135","FF",98.1,-2.13,53.62,5.68
"136","ST",85.1,-2.33,53.56,5.57
"137","FF",96.1,-2.13,53.46,5.65
"138","FF",97.5,-2.37,53.81,5.41
"139","ST",81.4,-2.59,54.1,5.24
"140","FF",96.9,-2.41,53.86,5.29
"141","FF",96,-2.54,53.71,5.3
"142","FF",96.5,-2.21,53.89,5.48
"143","FF",96.3,-2.38,53.85,5.34
"144","ST",85.8,-2.65,53.9,5.17
"145","FF",97.1,-2.47,53.81,5.25
"146","FF",98.3,-2.03,53.82,5.56
"147","FF",97.9,-2.19,53.81,5.5
"148","FF",96.8,-2.09,53.84,5.53
"149","FF",96.9,-2.2,53.71,5.48
"150","ST",83.9,-2.31,53.88,5.27
"151","FF",98.9,-2.25,53.63,5.23
"152","FF",98.6,-2.23,53.78,5.39
"153","FF",96.9,-2.23,53.79,5.42
"154","ST",85.1,-2.48,53.91,5.25
"155","ST",85.1,-2.53,53.95,5.19
"156","FF",96.9,-2.34,53.61,5.26
"157","FF",97.9,-2.33,53.62,5.37
"158","ST",85.2,-2.42,53.76,5.2
"159","ST",84.7,-2.42,53.93,5.2
"160","FF",97.4,-2.2,53.6,5.33
"161","FF",97.8,-2.19,53.68,5.34
"162","FF",96.7,-2.16,53.65,5.52
"163","FF",96.3,-2.06,53.64,5.54
"164","ST",82.8,-2.33,53.89,5.33
"165","ST",82,-2.41,53.94,5.43
"166","ST",85.7,-2.43,53.77,5.3
"167","FF",98.4,-2.21,53.72,5.42
"168","FF",93.9,-2.01,53.76,5.63
"169","FF",97.1,-2.29,53.71,5.33
"170","ST",85.8,-2.35,53.56,5.35
